Collision detected: CollisionEvent(frame=112321, timestamp=2017.026578, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112322, timestamp=2017.045331, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112323, timestamp=2017.066080, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112323, timestamp=2017.066080, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112324, timestamp=2017.088381, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112324, timestamp=2017.088381, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112325, timestamp=2017.107002, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112325, timestamp=2017.107002, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112326, timestamp=2017.126522, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112326, timestamp=2017.126522, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112327, timestamp=2017.146308, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112327, timestamp=2017.146308, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112328, timestamp=2017.166042, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112328, timestamp=2017.166042, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112329, timestamp=2017.184798, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112329, timestamp=2017.184798, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112330, timestamp=2017.203518, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112330, timestamp=2017.203518, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112331, timestamp=2017.225103, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112331, timestamp=2017.225103, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112332, timestamp=2017.246247, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112332, timestamp=2017.246247, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112333, timestamp=2017.267162, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112333, timestamp=2017.267162, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112334, timestamp=2017.287710, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112334, timestamp=2017.287710, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112335, timestamp=2017.307417, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112335, timestamp=2017.307417, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112336, timestamp=2017.326556, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112336, timestamp=2017.326556, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112337, timestamp=2017.345459, other_actor=0000012136CC8180)
