LidarMeasurement(frame=112084, timestamp=2012.679304, number_of_points=489)
LidarMeasurement(frame=112085, timestamp=2012.697932, number_of_points=583)
LidarMeasurement(frame=112086, timestamp=2012.718123, number_of_points=548)
LidarMeasurement(frame=112087, timestamp=2012.737616, number_of_points=516)
LidarMeasurement(frame=112088, timestamp=2012.756682, number_of_points=566)
LidarMeasurement(frame=112089, timestamp=2012.775550, number_of_points=528)
LidarMeasurement(frame=112090, timestamp=2012.794810, number_of_points=599)
LidarMeasurement(frame=112091, timestamp=2012.814128, number_of_points=567)
LidarMeasurement(frame=112092, timestamp=2012.832913, number_of_points=518)
LidarMeasurement(frame=112093, timestamp=2012.851904, number_of_points=570)
LidarMeasurement(frame=112094, timestamp=2012.872363, number_of_points=587)
LidarMeasurement(frame=112095, timestamp=2012.892289, number_of_points=571)
LidarMeasurement(frame=112096, timestamp=2012.915894, number_of_points=639)
LidarMeasurement(frame=112097, timestamp=2012.937392, number_of_points=598)
LidarMeasurement(frame=112098, timestamp=2012.956579, number_of_points=576)
LidarMeasurement(frame=112099, timestamp=2012.976504, number_of_points=501)
LidarMeasurement(frame=112100, timestamp=2012.994115, number_of_points=551)
LidarMeasurement(frame=112101, timestamp=2013.013846, number_of_points=578)
LidarMeasurement(frame=112102, timestamp=2013.031495, number_of_points=477)
LidarMeasurement(frame=112103, timestamp=2013.048923, number_of_points=485)
LidarMeasurement(frame=112104, timestamp=2013.066113, number_of_points=534)
LidarMeasurement(frame=112105, timestamp=2013.084010, number_of_points=466)
LidarMeasurement(frame=112106, timestamp=2013.101233, number_of_points=502)
LidarMeasurement(frame=112107, timestamp=2013.118830, number_of_points=505)
LidarMeasurement(frame=112108, timestamp=2013.135757, number_of_points=482)
LidarMeasurement(frame=112109, timestamp=2013.153062, number_of_points=522)
LidarMeasurement(frame=112110, timestamp=2013.169692, number_of_points=481)
LidarMeasurement(frame=112111, timestamp=2013.186078, number_of_points=433)
LidarMeasurement(frame=112112, timestamp=2013.203607, number_of_points=527)
LidarMeasurement(frame=112113, timestamp=2013.220969, number_of_points=490)
LidarMeasurement(frame=112114, timestamp=2013.238934, number_of_points=521)
LidarMeasurement(frame=112115, timestamp=2013.255876, number_of_points=513)
LidarMeasurement(frame=112116, timestamp=2013.272988, number_of_points=486)
LidarMeasurement(frame=112117, timestamp=2013.289968, number_of_points=504)
LidarMeasurement(frame=112118, timestamp=2013.307041, number_of_points=483)
LidarMeasurement(frame=112119, timestamp=2013.323967, number_of_points=474)
LidarMeasurement(frame=112120, timestamp=2013.341068, number_of_points=530)
LidarMeasurement(frame=112121, timestamp=2013.358548, number_of_points=545)
LidarMeasurement(frame=112122, timestamp=2013.375720, number_of_points=446)
LidarMeasurement(frame=112123, timestamp=2013.392615, number_of_points=524)
LidarMeasurement(frame=112124, timestamp=2013.411028, number_of_points=550)
LidarMeasurement(frame=112125, timestamp=2013.429352, number_of_points=482)
LidarMeasurement(frame=112126, timestamp=2013.446934, number_of_points=534)
LidarMeasurement(frame=112127, timestamp=2013.475200, number_of_points=803)
LidarMeasurement(frame=112128, timestamp=2013.492637, number_of_points=539)
LidarMeasurement(frame=112129, timestamp=2013.509223, number_of_points=481)
LidarMeasurement(frame=112130, timestamp=2013.527588, number_of_points=517)
LidarMeasurement(frame=112131, timestamp=2013.545518, number_of_points=520)
LidarMeasurement(frame=112132, timestamp=2013.562977, number_of_points=550)
LidarMeasurement(frame=112133, timestamp=2013.581355, number_of_points=465)
LidarMeasurement(frame=112134, timestamp=2013.599132, number_of_points=524)
LidarMeasurement(frame=112135, timestamp=2013.618120, number_of_points=520)
LidarMeasurement(frame=112136, timestamp=2013.638602, number_of_points=584)
LidarMeasurement(frame=112137, timestamp=2013.659020, number_of_points=628)
LidarMeasurement(frame=112138, timestamp=2013.678212, number_of_points=484)
LidarMeasurement(frame=112139, timestamp=2013.698897, number_of_points=638)
LidarMeasurement(frame=112140, timestamp=2013.724972, number_of_points=734)
LidarMeasurement(frame=112141, timestamp=2013.749391, number_of_points=741)
LidarMeasurement(frame=112142, timestamp=2013.769306, number_of_points=602)
LidarMeasurement(frame=112143, timestamp=2013.787193, number_of_points=484)
LidarMeasurement(frame=112144, timestamp=2013.804794, number_of_points=506)
LidarMeasurement(frame=112145, timestamp=2013.822037, number_of_points=479)
LidarMeasurement(frame=112146, timestamp=2013.838470, number_of_points=485)
